archivo,region,selector,propiedad,valor,token,decision
"cadena.html","<style>",".navbar .who","color","#a5b4fc","","sobre-oscuro"
"cadena.html","<style>",".rcard","box-shadow","0 2px 8px rgba(0,0,0,.05)","","sin-mapa"
"cadena.html","<style>",".tabla-wrapper","box-shadow","0 2px 8px rgba(0,0,0,.05)","","sin-mapa"
"caja.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"caja.html","<style>",".navbar","color","white","","sobre-oscuro"
"caja.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"caja.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"caja.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"caja.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"caja.html","<style>",".btn-success","background","#16a34a","","sobre-oscuro"
"caja.html","<style>",".btn-success","color","white","","sobre-oscuro"
"caja.html","<style>",".btn-success:hover","background","#15803d","","sobre-oscuro"
"caja.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"caja.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"caja.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"caja.html","template CSS","","(bloque)","@media print / documento","","impresion"
"caja.html","style=","","background","#fff","--sup","convertido"
"caja.html","style=","","background","#1a1a2e","--sup-inv","convertido"
"caja.html","style=","","color","white","--tx-inv","convertido"
"caja.html","style=","(tag sobre oscuro)","color","#1a1a2e","","sobre-oscuro"
"caja.html","style=","","color","#1a1a2e","--tx","convertido"
"caja.html","style=","","background","white","--sup","convertido"
"caja.html","style=","","color","#7c3aed","--tx-ac-2","convertido"
"caja.html","style=","","color","#1a1a2e","--tx","convertido"
"caja.html","style=","","background","white","--sup","convertido"
"caja.html","style=","","color","#1a1a2e","--tx","convertido"
"caja.html","style=","","background","#fff1f2","--pel-sf-2","convertido"
"caja.html","style=","","background","#fff1f2","--pel-sf-2","convertido"
"caja.html","style=","","color","#fff","--tx-inv","convertido"
"caja.html","style=","","background","#fff1f2","--pel-sf-2","convertido"
"clientes.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"clientes.html","<style>",".navbar","color","white","","sobre-oscuro"
"clientes.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"clientes.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"clientes.html","<style>",".modal","box-shadow","0 10px 40px rgba(0,0,0,.25)","","sin-mapa"
"clientes.html","<style>",".cli-star.on","text-shadow","0 0 1px #b8860b","","sin-mapa"
"clientes.html","style=","","background","#fff","--sup","convertido"
"cocina.html","<style>","/ .navbar","background","#0f172a","","sobre-oscuro"
"cocina.html","<style>",".navbar-brand","color","#f9fafb","","sobre-oscuro"
"cocina.html","<style>",".navbar-area","color","#64748b","","sobre-oscuro"
"configuracion-usuario.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"configuracion-usuario.html","<style>",".navbar","color","white","","sobre-oscuro"
"configuracion-usuario.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"configuracion-usuario.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"configuracion.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"configuracion.html","<style>",".navbar","color","white","","sobre-oscuro"
"configuracion.html","<style>","#cfg-acordeon .cfg-section.open","box-shadow","0 0 0 2px #4f46e5, 0 2px 8px rgba(0,0,0,.06)","","sin-mapa"
"configuracion.html","<style>","#cfg-acordeon .cfg-section.open .cfg-section-body","box-shadow","none","","sin-mapa"
"configuracion.html","<style>",".toggle-slider::before","box-shadow","0 1px 3px rgba(0,0,0,.2)","","sin-mapa"
"configuracion.html","<style>",".tam-knob","box-shadow","0 1px 3px rgba(0,0,0,.25)","","sin-mapa"
"configuracion.html","<style>",".modal","box-shadow","0 20px 60px rgba(0,0,0,.2)","","sin-mapa"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","background","#fff7ed","--pel-sf-2","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","background","#fff","--sup","convertido"
"configuracion.html","style=","","color","#1a1a2e","--tx","convertido"
"configuracion.html","style=","","background","#fff","--sup","convertido"
"configuracion.html","style=","","background","#fff","--sup","convertido"
"configuracion.html","style=","","background","#fffbeb","--pel-sf-2","convertido"
"dashboard.html","<style>","/ .navbar","background","#1a1a2e","","sobre-oscuro"
"dashboard.html","<style>","/ .navbar","color","white","","sobre-oscuro"
"dashboard.html","<style>",".navbar-user","color","#a5b4fc","","sobre-oscuro"
"dashboard.html","<style>",".db-block.drop-before","box-shadow","-4px 0 0 #4f46e5","","sin-mapa"
"dashboard.html","<style>",".db-block.drop-after","box-shadow","4px 0 0 #4f46e5","","sin-mapa"
"dashboard.html","<style>",".module-card:hover","box-shadow","0 6px 20px rgba(79,70,229,.12)","","sin-mapa"
"dashboard.html","<style>",".cfg-panel","box-shadow","-4px 0 24px rgba(0,0,0,.15)","","sin-mapa"
"dashboard.html","template CSS",".emp-tab","box-shadow","0 1px 4px rgba(0,0,0,.05)","","sin-mapa"
"dashboard.html","style=","","background","white","--sup","convertido"
"documentos.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"documentos.html","<style>",".navbar","color","white","","sobre-oscuro"
"documentos.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"documentos.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"documentos.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"documentos.html","<style>",".doc-card:hover","box-shadow","0 4px 14px rgba(0,0,0,.12)","","sin-mapa"
"documentos.html","<style>",".doc-file","box-shadow","0 2px 6px rgba(0,0,0,.05)","","sin-mapa"
"documentos.html","<style>","/ .lock-card","box-shadow","0 2px 10px rgba(0,0,0,.08)","","sin-mapa"
"documentos.html","<style>",".grp-chip-row","box-shadow","0 2px 6px rgba(0,0,0,.05)","","sin-mapa"
"estadisticas-personal.html","<style>","/ .navbar","background","#1a1a2e","","sobre-oscuro"
"estadisticas-personal.html","<style>","/ .navbar","color","white","","sobre-oscuro"
"estadisticas-personal.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"estadisticas-personal.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"estadisticas-personal.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"estadisticas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"estadisticas.html","<style>",".navbar","color","white","","sobre-oscuro"
"estadisticas.html","<style>",".bill-card:hover","box-shadow","0 6px 20px rgba(0,0,0,.13)","","sin-mapa"
"estadisticas.html","<style>",".prog-fill-lbl","text-shadow","0 1px 3px rgba(0,0,0,.35)","","sin-mapa"
"estadisticas.html","<style>",".res-pill.pill-activo","box-shadow","0 0 0 3px currentColor","","sin-mapa"
"estadisticas.html","<style>",".cat-card:hover","box-shadow","0 4px 20px rgba(0,0,0,.1)","","sin-mapa"
"estadisticas.html","<style>","/ .hub-cfg-panel","box-shadow","0 4px 20px rgba(0,0,0,.08)","","sin-mapa"
"estadisticas.html","<style>",".cfg-panel","box-shadow","-4px 0 24px rgba(0,0,0,.15)","","sin-mapa"
"estadisticas.html","<style>","#hub-wgt-grid [id^=""wgt-""].drop-before","box-shadow","-4px 0 0 #4f46e5","","sin-mapa"
"estadisticas.html","<style>","#hub-wgt-grid [id^=""wgt-""].drop-after","box-shadow","4px 0 0 #4f46e5","","sin-mapa"
"estadisticas.html","<style>",".detalle-modal","box-shadow","0 8px 40px rgba(0,0,0,.25)","","sin-mapa"
"estadisticas.html","style=","","color","white","--tx-inv","convertido"
"estadisticas.html","style=","","color","white","--tx-inv","convertido"
"estadisticas.html","style=","","color","#fff","--tx-inv","convertido"
"facturas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"facturas.html","<style>",".navbar","color","white","","sobre-oscuro"
"facturas.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"facturas.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"facturas.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"facturas.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"facturas.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"facturas.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"facturas.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"facturas.html","<style>",".btn-success","background","#16a34a","","sobre-oscuro"
"facturas.html","<style>",".btn-success","color","white","","sobre-oscuro"
"facturas.html","<style>",".btn-success:hover","background","#15803d","","sobre-oscuro"
"facturas.html","<style>","#modal-confirmacion .fuente-box","box-shadow","0 0 0 2px rgba(245,158,11,.25)","","sin-mapa"
"facturas.html","<style>",".fcard","box-shadow","0 1px 4px rgba(0,0,0,0.04)","","sin-mapa"
"facturas.html","style=","","background","white","--sup","convertido"
"facturas.html","style=","","color","#1a1a2e","--tx","convertido"
"facturas.html","style=","","background","#fff","--sup","convertido"
"facturas.html","style=","","background","#fff","--sup","convertido"
"facturas.html","style=","","box-shadow","0 8px 24px rgba(0,0,0,.14)","","sin-mapa"
"facturas.html","style=","","background","#fff7ed","--pel-sf-2","convertido"
"facturas.html","style=","","background","#fff","--sup","convertido"
"facturas.html","style=","","background","#fff","--sup","convertido"
"facturas.html","style=","","box-shadow","0 8px 24px rgba(0,0,0,.14)","","sin-mapa"
"facturas.html","style=","","background","#fffbeb","--pel-sf-2","convertido"
"facturas.html","style=","","background","white","--sup","convertido"
"facturas.html","style=","","color","#fff","--tx-inv","convertido"
"facturas.html","style=","","color","#fff","--tx-inv","convertido"
"facturas.html","style=","","color","#1a1a2e","--tx","convertido"
"facturas.html","style=","","color","#1a1a2e","--tx","convertido"
"facturas.html","style=","","color","#1a1a2e","--tx","convertido"
"fichajes.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"fichajes.html","<style>",".navbar","color","white","","sobre-oscuro"
"fichajes.html","<style>",".modal-rev","box-shadow","0 20px 60px rgba(0,0,0,0.2)","","sin-mapa"
"fichajes.html","style=","","background","#fff","--sup","convertido"
"fichajes.html","style=","","box-shadow","0 4px 14px rgba(0,0,0,.12)","","sin-mapa"
"fichajes.html","style=","","color","#fff","--tx-inv","convertido"
"fichajes.html","style=","","color","#c0392b","","sin-mapa"
"fichajes.html","style=","","color","#1e7e34","","sin-mapa"
"fichajes.html","style=","","background","#fffaf0","--pel-sf-2","convertido"
"fichajes.html","style=","","background","#fffaf0","--pel-sf-2","convertido"
"historicos.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"historicos.html","<style>",".navbar","color","white","","sobre-oscuro"
"historicos.html","<style>",".hm-cell:hover","box-shadow","0 2px 8px rgba(0,0,0,.18)","","sin-mapa"
"historicos.html","<style>",".hm-cell.hm-sel","box-shadow","0 0 0 1px #4f46e5","","sin-mapa"
"horarios.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"horarios.html","<style>",".navbar","color","#fff","","sobre-oscuro"
"horarios.html","<style>",".navbar .who","color","#a5b4fc","","sobre-oscuro"
"horarios.html","<style>",".navbar button","color","#a5b4fc","","sobre-oscuro"
"horarios.html","<style>",".navbar button:hover","background","#4f46e5","","sobre-oscuro"
"horarios.html","<style>",".navbar button:hover","color","#fff","","sobre-oscuro"
"horarios.html","<style>",".filtros","box-shadow","0 1px 6px rgba(0,0,0,.06)","","sin-mapa"
"horarios.html","<style>",".cq-table","box-shadow","0 1px 6px rgba(0,0,0,.07)","","sin-mapa"
"horarios.html","<style>",".u-avatar-sm","text-shadow","0 1px 2px rgba(0,0,0,.3)","","sin-mapa"
"horarios.html","<style>",".grid-empty, .grid-loading","box-shadow","0 1px 6px rgba(0,0,0,.07)","","sin-mapa"
"horarios.html","<style>",".modal","box-shadow","0 20px 50px rgba(0,0,0,.25)","","sin-mapa"
"horarios.html","<style>",".modal-head .mav","text-shadow","0 1px 2px rgba(0,0,0,.3)","","sin-mapa"
"horarios.html","template CSS",".cell-menu","box-shadow","0 8px 24px rgba(0,0,0,.16)","","sin-mapa"
"horarios.html","template CSS",".ix-card","box-shadow","0 24px 60px rgba(0,0,0,.3)","","sin-mapa"
"horarios.html","template CSS","#desglose-modal .dg-card","box-shadow","0 24px 60px rgba(0,0,0,.3)","","sin-mapa"
"horarios.html","template CSS","#desglose-modal .dg-blk","box-shadow","0 1px 2px rgba(0,0,0,.18)","","sin-mapa"
"horarios.html","template CSS","#sol-widget","box-shadow","0 16px 40px rgba(0,0,0,.22)","","sin-mapa"
"horarios.html","style=","","background","#fff","--sup","convertido"
"horarios.html","style=","","background","#fff","--sup","convertido"
"horarios.html","style=","","color","#fff","--tx-inv","convertido"
"horarios.html","style=","","background","#fff","--sup","convertido"
"horarios.html","style=","","background","#fff","--sup","convertido"
"horarios.html","style=","","background","#fff","--sup","convertido"
"horarios.html","style=","","color","#fff","--tx-inv","convertido"
"importar-ventas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"importar-ventas.html","<style>",".navbar","color","#fff","","sobre-oscuro"
"importar-ventas.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"importar-ventas.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"importar-ventas.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"importar-ventas.html","style=","","background","#fff","--sup","convertido"
"importar-ventas.html","style=","","background","#fff","--sup","convertido"
"index.html","<style>",".card","box-shadow","0 4px 24px rgba(0,0,0,0.08)","","sin-mapa"
"index.html","style=","","background","#fff","--sup","convertido"
"index.html","style=","","box-shadow","0 18px 60px rgba(0,0,0,.4)","","sin-mapa"
"index.html","style=","","color","#1a1a2e","--tx","convertido"
"index.html","style=","","background","#fff","--sup","convertido"
"index.html","style=","","color","#fff","--tx-inv","convertido"
"mensajes.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"mensajes.html","<style>",".navbar","color","white","","sobre-oscuro"
"mensajes.html","<style>","/ .modal-alerta","box-shadow","0 20px 60px rgba(0,0,0,0.25)","","sin-mapa"
"mensajes.html","<style>",".msg-card","box-shadow","0 2px 6px rgba(0,0,0,0.05)","","sin-mapa"
"mensajes.html","<style>",".msg-card:hover","box-shadow","0 4px 14px rgba(0,0,0,0.1)","","sin-mapa"
"mensajes.html","<style>","/ .modal-msg","box-shadow","0 20px 60px rgba(0,0,0,0.2)","","sin-mapa"
"mensajes.html","<style>","/ .modal-compose","box-shadow","0 20px 60px rgba(0,0,0,0.2)","","sin-mapa"
"mesas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"mesas.html","<style>",".navbar","color","white","","sobre-oscuro"
"mesas.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"mesas.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"mesas.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"mesas.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"mesas.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"mesas.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"mesas.html","<style>",".btn-success","background","#16a34a","","sobre-oscuro"
"mesas.html","<style>",".btn-success","color","white","","sobre-oscuro"
"mesas.html","<style>",".btn-success:hover","background","#15803d","","sobre-oscuro"
"mesas.html","<style>",".subtab.active","box-shadow","0 1px 3px rgba(0,0,0,0.1)","","sin-mapa"
"mesas.html","<style>",".mesa-card.multi-sel","box-shadow","0 0 0 3px rgba(220,38,38,0.15)","","sin-mapa"
"mesas.html","<style>","#btn-fullscreen","box-shadow","0 2px 8px rgba(0,0,0,0.12)","","sin-mapa"
"mesas.html","<style>",".mesa-editor.sel","box-shadow","0 0 0 3px #4f46e5 !important","","sin-mapa"
"mesas.html","<style>",".swatch","box-shadow","inset 0 0 0 1px rgba(0,0,0,.08)","","sin-mapa"
"mesas.html","style=","","color","#1a1a2e","--tx","convertido"
"mesas.html","style=","(tag sobre oscuro)","color","#1a1a2e","","sobre-oscuro"
"mesas.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"mesas.html","style=","","background","#fff","--sup","convertido"
"mesas.html","style=","","color","#1a1a2e","--tx","convertido"
"mesas.html","style=","","background","#f5f3ff","--ac-sf","convertido"
"mesas.html","style=","","background","#fffbeb","--pel-sf-2","convertido"
"preview-dashboard.html","<style>","/ .navbar","background","#1a1a2e","","sobre-oscuro"
"preview-dashboard.html","<style>","/ .navbar","color","white","","sobre-oscuro"
"preview-dashboard.html","<style>",".navbar-right","color","#a5b4fc","","sobre-oscuro"
"preview-dashboard.html","<style>",".config-panel","box-shadow","-4px 0 24px rgba(0,0,0,0.15)","","sin-mapa"
"preview-dashboard.html","<style>","/ .preview-badge","box-shadow","0 4px 20px rgba(0,0,0,0.3)","","sin-mapa"
"preview-dashboard.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"preview-dashboard.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"preview-dashboard.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"preview-dashboard.html","style=","","color","white","--tx-inv","convertido"
"privacidad.html","<style>",".caja","box-shadow","0 2px 10px rgba(0,0,0,.05)","","sin-mapa"
"productos.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"productos.html","<style>",".navbar","color","white","","sobre-oscuro"
"productos.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"productos.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"productos.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"productos.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"productos.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"productos.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"productos.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"productos.html","<style>",".btn-success","background","#16a34a","","sobre-oscuro"
"productos.html","<style>",".btn-success","color","white","","sobre-oscuro"
"productos.html","<style>",".btn-success:hover","background","#15803d","","sobre-oscuro"
"productos.html","<style>","/ .cp-cat-titulo","color","#666","","sobre-oscuro"
"productos.html","<style>",".cp-prod-row:hover","background","#f8f9fa","","sobre-oscuro"
"productos.html","<style>",".cp-slider","background","#d1d5db","","sobre-oscuro"
"productos.html","<style>",".cp-slider:before","background","white","","sobre-oscuro"
"productos.html","<style>",".cp-switch input:checked + .cp-slider","background","#4f46e5","","sobre-oscuro"
"productos.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"reservas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"reservas.html","<style>",".navbar","color","white","","sobre-oscuro"
"reservas.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"reservas.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"reservas.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"reservas.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"reservas.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"reservas.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"reservas.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"reservas.html","<style>","#ctx-menu","box-shadow","0 4px 16px rgba(0,0,0,0.12)","","sin-mapa"
"reservas.html","<style>","/ #estado-popup","box-shadow","0 8px 32px rgba(0,0,0,.18)","","sin-mapa"
"reservas.html","<style>","/ #placement-banner","box-shadow","0 8px 32px rgba(0,0,0,.35)","","sin-mapa"
"reservas.html","style=","","color","#1a1a2e","--tx","convertido"
"reservas.html","style=","","color","white","--tx-inv","convertido"
"reservas.html","style=","","background","#fff","--sup","convertido"
"reservas.html","style=","","color","#1a1a2e","--tx","convertido"
"reservas.html","style=","","color","#1a1a2e","--tx","convertido"
"reservas.html","style=","","color","#1a1a2e","--tx","convertido"
"restablecer.html","<style>",".card","box-shadow","0 18px 60px rgba(0,0,0,.4)","","sin-mapa"
"restaurantes.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"restaurantes.html","<style>",".navbar","color","#fff","","sobre-oscuro"
"restaurantes.html","<style>",".navbar-brand small","color","#a5b4fc","","sobre-oscuro"
"restaurantes.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"restaurantes.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"restaurantes.html","style=","(tag sobre oscuro)","color","#1a1a2e","","sobre-oscuro"
"restaurantes.html","style=","","color","#1a1a2e","--tx","convertido"
"restaurantes.html","style=","","background","#fffbeb","--pel-sf-2","convertido"
"salarios.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"salarios.html","<style>",".navbar","color","white","","sobre-oscuro"
"salarios.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"salarios.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"salarios.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"salarios.html","<style>",".btn-success","background","#16a34a","","sobre-oscuro"
"salarios.html","<style>",".btn-success","color","white","","sobre-oscuro"
"salarios.html","<style>",".btn-success:hover","background","#15803d","","sobre-oscuro"
"salarios.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"salarios.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"salarios.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"salarios.html","style=","","background","#fff","--sup","convertido"
"salarios.html","style=","","background","#fff","--sup","convertido"
"social.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"social.html","<style>",".navbar","color","white","","sobre-oscuro"
"social.html","<style>","/ .composer","box-shadow","0 2px 10px rgba(0,0,0,.06)","","sin-mapa"
"social.html","<style>","/ .mention-box","box-shadow","0 6px 18px rgba(0,0,0,.1)","","sin-mapa"
"social.html","<style>","/ .post","box-shadow","0 2px 10px rgba(0,0,0,.06)","","sin-mapa"
"social.html","<style>",".post.post-highlight","box-shadow","0 0 0 3px #4f46e5, 0 2px 10px rgba(0,0,0,.06)","","sin-mapa"
"social.html","style=","","color","#fff","--tx-inv","convertido"
"social.html","style=","","background","#fff","--sup","convertido"
"stock.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"stock.html","<style>",".navbar","color","white","","sobre-oscuro"
"stock.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"stock.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"stock.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"stock.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"stock.html","<style>",".btn-danger","background","#dc2626","","sobre-oscuro"
"stock.html","<style>",".btn-danger","color","white","","sobre-oscuro"
"stock.html","<style>",".btn-danger:hover","background","#b91c1c","","sobre-oscuro"
"stock.html","<style>",".stat-card:hover","box-shadow","0 4px 16px rgba(0,0,0,.12)","","sin-mapa"
"stock.html","style=","","background","#fff","--sup","convertido"
"stock.html","style=","","background","white","--sup","convertido"
"stock.html","style=","","color","white","--tx-inv","convertido"
"stock.html","style=","","background","white","--sup","convertido"
"stock.html","style=","","box-shadow","0 4px 16px rgba(0,0,0,.12)","","sin-mapa"
"stock.html","style=","(tag sobre oscuro)","background","white","","sobre-oscuro"
"stock.html","style=","","box-shadow","0 4px 20px rgba(0,0,0,0.15)","","sin-mapa"
"stock.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"tareas.html","<style>",".navbar","color","white","","sobre-oscuro"
"tareas.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"tareas.html","<style>",".btn-primary","color","#fff","","sobre-oscuro"
"tareas.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"tareas.html","<style>",".fila-tarea.sel","box-shadow","inset 3px 0 0 #4f46e5","","sin-mapa"
"tareas.html","<style>",".modal","box-shadow","0 20px 60px rgba(0,0,0,0.2)","","sin-mapa"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","color","#16a34a","--ok-tx-2","convertido"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","color","#16a34a","--ok-tx-2","convertido"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","color","#b45309","--fg-a35","convertido"
"tareas.html","style=","","color","#1a1a2e","--tx","convertido"
"tareas.html","style=","","background","#fffdf6","--sup-2","convertido"
"terminos.html","<style>",".caja","box-shadow","0 2px 10px rgba(0,0,0,.05)","","sin-mapa"
"usuarios.html","<style>",".navbar","background","#1a1a2e","","sobre-oscuro"
"usuarios.html","<style>",".navbar","color","white","","sobre-oscuro"
"usuarios.html","<style>",".navbar-links a","color","#a5b4fc","","sobre-oscuro"
"usuarios.html","<style>",".btn-primary","background","#4f46e5","","sobre-oscuro"
"usuarios.html","<style>",".btn-primary","color","white","","sobre-oscuro"
"usuarios.html","<style>",".btn-primary:hover","background","#4338ca","","sobre-oscuro"
"usuarios.html","<style>",".sw .tr::before","box-shadow","0 1px 3px rgba(0,0,0,.25)","","sin-mapa"
"usuarios.html","<style>",".btn-danger","background","#fee2e2","","sobre-oscuro"
"usuarios.html","<style>",".btn-danger","color","#dc2626","","sobre-oscuro"
